ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,City,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
2,Sales & Office Occupations,6,Sales & Office Occupations,17,Sales & Related Occupations,2021,2021,04000US37,North Carolina,52030,2175.082986922568,1.1364707522732445,Charlotte,16000US3712000,charlotte-nc,84672,5104,53229,-2.252531515,77924,8.659719726913401,11.103049444100638
2,Sales & Office Occupations,6,Sales & Office Occupations,18,Office & Administrative Support Occupations,2021,2021,04000US37,North Carolina,49456,2012.3662688486904,0.9513405516011627,Charlotte,16000US3712000,charlotte-nc,76091,2729,50846,-2.733745034,71306,6.710515244158977,10.553765391263523
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2021,2021,04000US37,North Carolina,583,181.4304274370757,0.2009394654076576,Charlotte,16000US3712000,charlotte-nc,34435,32578,451,29.268292682926827,29057,18.508448910761608,0.12441049059985917
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,Construction & Extraction Occupations,2021,2021,04000US37,North Carolina,23084,1253.9098851193414,0.98070391,Charlotte,16000US3712000,charlotte-nc,62726,3551,21718,6.289713601620775,57441,9.200745112376177,4.926057915964234
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2021,2021,04000US37,North Carolina,8820,870.481476,0.613498795,Charlotte,16000US3712000,charlotte-nc,84959,11583,9607,-8.191943375,77460,9.681125742318617,1.882162139092209
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,Production Occupations,2021,2021,04000US37,North Carolina,18632,1302.407386342691,0.7199368015501574,Charlotte,16000US3712000,charlotte-nc,63301,3204,18555,0.4149824845055241,58989,7.309837427316958,3.9760141695653104
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,Transportation Occupations,2021,2021,04000US37,North Carolina,16525,1229.5336514304925,0.9235526553169864,Charlotte,16000US3712000,charlotte-nc,69965,3347,17619,-6.209205971,67059,4.3334973679893825,3.526386547448838
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,Management Occupations,2020,2020,04000US37,North Carolina,56933,1947.7220027509059,1.1519525630302878,Charlotte,16000US3712000,charlotte-nc,148297,8077,55831,1.9738138310257742,147267,0.6994099153238675,12.09950269902665
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,Business & Financial Operations Occupations,2020,2020,04000US37,North Carolina,43732,1913.0250913148004,1.6829409532279673,Charlotte,16000US3712000,charlotte-nc,142977,6101,41223,6.0864080731630406,138418,3.293646780043058,9.294002635270115
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,Computer & Mathematical Occupations,2020,2020,04000US37,North Carolina,24626,1412.805719127722,1.6082828611570903,Charlotte,16000US3712000,charlotte-nc,157421,7538,23130,6.467790747946391,157013,0.25985109513225024,5.233561440047605
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,Architecture & Engineering Occupations,2020,2020,04000US37,North Carolina,8195,836.8159893309878,0.8790327041503279,Charlotte,16000US3712000,charlotte-nc,149415,13495,7911,3.589938060927822,138491,7.887877190575561,1.7416160156416032
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2020,2020,04000US37,North Carolina,2431,351.80818637433663,0.5198947130231631,Charlotte,16000US3712000,charlotte-nc,122670,23247,2430,0.041152263,136150,-9.900844657,0.5166404556467038
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,Community & Social Service Occupations,2020,2020,04000US37,North Carolina,8377,843.0480413357237,1.0026107430881237,Charlotte,16000US3712000,charlotte-nc,90831,6371,7111,17.80340317817466,86127,5.461701905325856,1.780294980235474
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,Legal Occupations,2020,2020,04000US37,North Carolina,7072,780.3287769,1.3165193674721072,Charlotte,16000US3712000,charlotte-nc,228868,39581,5908,19.702098849018277,201471,13.598483156384788,1.502954052790411
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2020,2020,04000US37,North Carolina,24564,1450.440277984585,0.8520531786442264,Charlotte,16000US3712000,charlotte-nc,84363,3797,23578,4.181864449910934,81187,3.9119563476911328,5.220385089
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2020,2020,04000US37,North Carolina,10141,1057.6979720128047,1.0549634055093566,Charlotte,16000US3712000,charlotte-nc,79032,5498,10052,0.8853959411062475,86939,-9.094882619,2.155183406299146
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,9,Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,2020,04000US37,North Carolina,14564,828.3236082594773,0.7430212433011645,Charlotte,16000US3712000,charlotte-nc,200959,31460,15205,-4.215718514,189138,6.249933910689549,3.095167254643601
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,10,Health Technologists & Technicians,2020,2020,04000US37,North Carolina,6488,823.8306864884313,0.7032557073131148,Charlotte,16000US3712000,charlotte-nc,82622,19945,5516,17.621464829586657,86126,-4.068457841,1.3788413312364518
1,Service Occupations,4,Service Occupations,11,Healthcare Support Occupations,2020,2020,04000US37,North Carolina,10718,1263.370887744371,0.6956095629830719,Charlotte,16000US3712000,charlotte-nc,55091,9886,10753,-0.325490561,50778,8.493835913190752,2.277808475368725
1,Service Occupations,4,Service Occupations,14,Food Preparation & Serving Related Occupations,2020,2020,04000US37,North Carolina,25576,1423.2023749277541,0.9782558737969305,Charlotte,16000US3712000,charlotte-nc,35984,2085,26935,-5.045479859,35471,1.4462518677229286,5.435457134356271
1,Service Occupations,4,Service Occupations,15,Building & Grounds Cleaning & Maintenance Occupations,2020,2020,04000US37,North Carolina,16113,1156.0834744948136,0.9310895242449064,Charlotte,16000US3712000,charlotte-nc,41739,3818,16330,-1.328842621,38476,8.480611290154902,3.4243634972584687
1,Service Occupations,4,Service Occupations,16,Personal Care & Service Occupations,2020,2020,04000US37,North Carolina,13129,1017.8629573768759,1.0206767607000808,Charlotte,16000US3712000,charlotte-nc,45547,6414,12747,2.9967835569153523,43476,4.763547704480633,2.790198495345773
1,Service Occupations,5,Protective Service Occupations,12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2020,2020,04000US37,North Carolina,4707,719.1807839479584,0.8532946564238024,Charlotte,16000US3712000,charlotte-nc,68496,14435,4477,5.137368774,62399,9.770989919710251,1.0003400348535725
1,Service Occupations,5,Protective Service Occupations,13,Law Enforcement Workers Including Supervisors,2020,2020,04000US37,North Carolina,1963,364.2444234302016,0.4315282182888739,Charlotte,16000US3712000,charlotte-nc,98592,9377,1982,-0.958627649,99462,-0.874705918,0.4171802609767501
2,Sales & Office Occupations,6,Sales & Office Occupations,17,Sales & Related Occupations,2020,2020,04000US37,North Carolina,53229,2105.7810902370643,1.130804945882627,Charlotte,16000US3712000,charlotte-nc,77924,4622,52853,0.7114071102870225,77461,0.5977201430397232,11.312322013006334
2,Sales & Office Occupations,6,Sales & Office Occupations,18,Office & Administrative Support Occupations,2020,2020,04000US37,North Carolina,50846,1870.0163100892999,0.9542340842176866,Charlotte,16000US3712000,charlotte-nc,71306,2500,49250,3.2406091370558374,69984,1.8890032007315958,10.805882602966804
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2020,2020,04000US37,North Carolina,451,168.30923919975396,0.14922455807788787,Charlotte,16000US3712000,charlotte-nc,29057,12624,492,-8.333333333,36317,-19.99063799,0.095847324
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,Construction & Extraction Occupations,2020,2020,04000US37,North Carolina,21718,1128.9375536317323,0.9178823244780128,Charlotte,16000US3712000,charlotte-nc,57441,2542,22664,-4.174020473,57119,0.5637353595125966,4.615548093679602
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2020,2020,04000US37,North Carolina,9607,1081.2927448198293,0.6658091804240981,Charlotte,16000US3712000,charlotte-nc,77460,11309,9857,-2.536268642,77722,-0.337098891,2.041696773919327
