ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",5,"Retail Trade",2020,"2020",22237,1715,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2020,"2020",35952,3216,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2020,"2020",44716,3696,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",59165,3790,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",41089,2163,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",38183,1101,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",18506,1226,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2020,"2020",22254,2419,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2020,"2020",46811,4421,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",40952,10779,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2019,"2019",34442,2703,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2019,"2019",49119,2940,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2019,"2019",47207,5663,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2019,"2019",30793,1020,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2019,"2019",41886,2484,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2019,"2019",57071,3124,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",89688,3876,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",61616,2611,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",44077,1613,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",22836,1554,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2019,"2019",33307,3133,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2019,"2019",54524,1948,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",12059,11849,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2019,"2019",35555,3764,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2019,"2019",38478,3056,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2019,"2019",43238,1813,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2019,"2019",21378,847,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2019,"2019",38169,2630,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2019,"2019",49255,3290,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",56637,2913,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",39299,1671,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",36920,956,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",17416,833,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2019,"2019",21815,1819,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2019,"2019",46230,2749,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",32109,11503,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2018,"2018",32191,989,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2018,"2018",48386,2611,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2018,"2018",43847,3670,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2018,"2018",30517,1081,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2018,"2018",41440,2367,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2018,"2018",56153,3309,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",85945,5001,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",58175,3153,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",44223,2004,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",21293,966,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2018,"2018",32218,1913,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2018,"2018",53517,1790,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",15714,15477,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2018,"2018",35201,3843,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2018,"2018",38005,2583,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2018,"2018",40896,2005,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2018,"2018",21242,723,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2018,"2018",39522,3420,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2018,"2018",49089,3622,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",55009,2573,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",36537,868,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",35856,605,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",16729,716,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2018,"2018",20853,1051,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2018,"2018",44151,3595,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",50037,17889,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2017,"2017",30539,1072,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2017,"2017",47472,3299,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2017,"2017",45719,5025,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2017,"2017",29276,2276,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2017,"2017",41545,1599,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2017,"2017",52551,2830,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",84589,3692,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",55807,2966,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",42151,1591,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",21253,958,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2017,"2017",31184,1169,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2017,"2017",50355,2711,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",21250,37568,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2017,"2017",35576,1313,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2017,"2017",37527,2831,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2017,"2017",39094,4710,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2017,"2017",20606,827,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2017,"2017",36758,2366,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2017,"2017",44082,4287,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",52961,1675,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",35409,1651,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",35335,681,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",15641,831,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2017,"2017",19816,1329,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2017,"2017",44451,2275,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",42292,19221,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2016,"2016",28989,1789,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2016,"2016",48275,3585,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2016,"2016",42239,2211,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2016,"2016",28501,2328,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2016,"2016",41487,1538,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2016,"2016",51894,3586,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",81878,2147,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",53892,3274,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",40998,1337,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",20082,1172,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2016,"2016",30210,1662,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2016,"2016",48992,3508,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",14773,25131,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2016,"2016",35456,6265,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2016,"2016",37068,2460,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2016,"2016",38100,3831,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2016,"2016",19720,1035,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2016,"2016",36926,2209,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2016,"2016",43995,3888,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",50179,1530,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",32606,2149,"Charlotte, NC","16000US3712000","charlotte-nc"
