EVENT_TYPE,date,BEGIN_DATETIME,END_DATETIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,time_diff,EVENT_TYPE_col,date,weather_id
Hail,2014-05-10,2014-05-10 14:03:00,2014-05-10 14:28:00.000,35.24835,-80.74615,35.24835,-80.74615,0 days 00:25:00,Hail,2014-05-10,37
Hail,2014-06-10,2014-06-10 17:30:00,2014-06-10 18:28:40.000,35.3503,-80.7889,35.3503,-80.7889,0 days 00:58:40,Hail,2014-06-10,38
Hail,2014-06-13,2014-06-13 18:33:00,2014-06-13 19:31:40.000,35.39,-80.92,35.39,-80.92,0 days 00:58:40,Hail,2014-06-13,39
Hail,2014-07-15,2014-07-15 16:15:00,2014-07-15 17:13:40.000,35.15,-80.68,35.15,-80.68,0 days 00:58:40,Hail,2014-07-15,40
Hail,2015-04-20,2015-04-20 15:05:00,2015-04-20 16:23:00.000,35.345,-80.8775,35.3525,-80.83,0 days 01:18:00,Hail,2015-04-20,41
Hail,2015-06-24,2015-06-24 16:17:00,2015-06-24 17:15:40.000,35.08,-80.89,35.08,-80.89,0 days 00:58:40,Hail,2015-06-24,42
Hail,2015-09-04,2015-09-04 18:40:00,2015-09-04 19:38:40.000,35.36,-80.78,35.36,-80.78,0 days 00:58:40,Hail,2015-09-04,43
Hail,2016-05-02,2016-05-02 14:35:00,2016-05-02 14:53:00.000,35.405,-80.88499999999999,35.405,-80.88499999999999,0 days 00:18:00,Hail,2016-05-02,44
Hail,2016-05-03,2016-05-03 15:48:00,2016-05-03 15:49:00.000,35.144999999999996,-80.74000000000001,35.144999999999996,-80.74000000000001,0 days 00:01:00,Hail,2016-05-03,45
Hail,2016-05-12,2016-05-12 18:44:00,2016-05-12 19:42:40.000,35.09,-80.85,35.09,-80.85,0 days 00:58:40,Hail,2016-05-12,46
Hail,2016-06-14,2016-06-14 19:11:00,2016-06-14 20:09:40.000,35.2,-80.79,35.2,-80.79,0 days 00:58:40,Hail,2016-06-14,47
Hail,2016-07-11,2016-07-11 16:44:00,2016-07-11 17:42:40.000,35.25,-80.66,35.25,-80.66,0 days 00:58:40,Hail,2016-07-11,48
Heavy Rain,2012-07-20,2012-07-20 16:15:00,2012-07-20 17:30:00.000,35.15,-80.83,35.15,-80.83,0 days 01:15:00,Heavy Rain,2012-07-20,49
Heavy Rain,2012-09-01,2012-09-01 16:30:00,2012-09-01 17:45:00.000,35.23,-80.83,35.23,-80.83,0 days 01:15:00,Heavy Rain,2012-09-01,50
Heavy Rain,2012-09-08,2012-09-08 17:15:00,2012-09-08 18:30:00.000,35.185,-80.806,35.185,-80.806,0 days 01:15:00,Heavy Rain,2012-09-08,51
Heavy Rain,2014-06-27,2014-06-27 18:00:00,2014-06-27 19:30:00.000,35.17,-80.79,35.14,-80.77,0 days 01:30:00,Heavy Rain,2014-06-27,52
Heavy Rain,2014-09-03,2014-09-03 18:15:00,2014-09-03 19:15:00.000,35.23,-80.83,35.23,-80.83,0 days 01:00:00,Heavy Rain,2014-09-03,53
Heavy Rain,2015-11-02,2015-11-02 18:00:00,2015-11-02 19:15:00.000,35.21,-80.82,35.21,-80.82,0 days 01:15:00,Heavy Rain,2015-11-02,54
Lightning,2011-06-21,2011-06-21 21:30:00,2011-06-21 21:45:00.000,35.1,-80.86,35.1,-80.86,0 days 00:15:00,Lightning,2011-06-21,55
Lightning,2011-08-07,2011-08-07 19:00:00,2011-08-07 19:15:00.000,35.05,-80.87,35.05,-80.87,0 days 00:15:00,Lightning,2011-08-07,56
Lightning,2012-03-20,2012-03-20 21:30:00,2012-03-20 21:45:00.000,35.46,-80.923,35.46,-80.923,0 days 00:15:00,Lightning,2012-03-20,57
Lightning,2012-05-22,2012-05-22 21:30:00,2012-05-22 21:45:00.000,35.15,-80.885,35.15,-80.885,0 days 00:15:00,Lightning,2012-05-22,58
Lightning,2012-07-01,2012-07-01 17:30:00,2012-07-01 17:45:00.000,35.34,-80.81,35.34,-80.81,0 days 00:15:00,Lightning,2012-07-01,59
Lightning,2012-07-16,2012-07-16 16:30:00,2012-07-16 16:45:00.000,35.14,-80.87,35.14,-80.87,0 days 00:15:00,Lightning,2012-07-16,60
Lightning,2014-06-25,2014-06-25 15:00:00,2014-06-25 15:15:00.000,35.24,-80.86,35.24,-80.86,0 days 00:15:00,Lightning,2014-06-25,61
Lightning,2015-08-19,2015-08-19 17:00:00,2015-08-19 17:15:00.000,35.41,-80.88,35.41,-80.88,0 days 00:15:00,Lightning,2015-08-19,62
Lightning,2015-09-10,2015-09-10 18:25:00,2015-09-10 18:40:00.000,35.18,-80.9,35.18,-80.9,0 days 00:15:00,Lightning,2015-09-10,63
Thunderstorm Wind,2011-04-05,2011-04-05 05:01:00,2011-04-05 10:07:00.000,35.2,-80.94,35.3,-80.73,0 days 05:06:00,Thunderstorm Wind,2011-04-05,64
Thunderstorm Wind,2011-04-09,2011-04-09 18:10:00,2011-04-09 18:15:00.000,35.2,-80.83,35.15,-80.83,0 days 00:05:00,Thunderstorm Wind,2011-04-09,65
Thunderstorm Wind,2011-04-16,2011-04-16 11:06:00,2011-04-16 11:49:31.875,35.42,-80.85,35.42,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2011-04-16,66
Thunderstorm Wind,2011-05-26,2011-05-26 21:10:00,2011-05-26 21:53:31.875,35.2,-80.94,35.31,-80.847,0 days 00:43:31.875000,Thunderstorm Wind,2011-05-26,67
Thunderstorm Wind,2011-06-09,2011-06-09 15:30:00,2011-06-09 15:42:00.000,35.298,-80.8735,35.298,-80.8735,0 days 00:12:00,Thunderstorm Wind,2011-06-09,68
Thunderstorm Wind,2011-06-11,2011-06-11 20:30:00,2011-06-11 21:13:31.875,35.13,-80.83,35.13,-80.83,0 days 00:43:31.875000,Thunderstorm Wind,2011-06-11,69
Thunderstorm Wind,2011-06-18,2011-06-18 15:12:00,2011-06-18 15:40:00.000,35.4,-80.905,35.37,-80.80000000000001,0 days 00:28:00,Thunderstorm Wind,2011-06-18,70
Thunderstorm Wind,2011-06-21,2011-06-21 21:25:00,2011-06-21 21:45:00.000,35.18,-80.91,35.26,-80.73,0 days 00:20:00,Thunderstorm Wind,2011-06-21,71
Thunderstorm Wind,2011-06-22,2011-06-22 20:30:00,2011-06-22 21:13:31.875,35.2,-80.83,35.2,-80.83,0 days 00:43:31.875000,Thunderstorm Wind,2011-06-22,72
Thunderstorm Wind,2011-06-24,2011-06-24 16:34:00,2011-06-24 16:40:00.000,35.16,-80.91,35.14,-80.85,0 days 00:06:00,Thunderstorm Wind,2011-06-24,73
